"","study","method","interviewer","computer.assisted","item_name","repetition","concept","domain","past","future","centrality","socdesir","visual","questiontype","motivation","opinionother","gradation","instr_respon","instr_interv","intropresent","intr_request","numsub_intro","nwords_intro","avgwrd_intro","nnouns_intro","nabst_intro","avgabs_intro","nwords_total","avgwrd_total","nsub_quest","nsyll_total","avgsy_total","nnouns_total","nabst_total","avgabs_total","used_WH_word","form_basic","stimulus","absolute","balance","encourage","subjectiveop","knowledge","dont_know","scale_basic","ncategories","labels","labels_gramm","scal_neutral","range.correspondence","scale_urange","scale_trange","scale_corres","symmetry","labels_order","fixrefpoints","position","usedshowcard","country","language","rel","val"
"57","Old 5",1,1,0,"5.1.1",0,"73",2,0,1,1,0,0,1,1,0,1,1,1,1,0,0,25,25,7,7,1,23,23,0,41,1.78260869565217,5,5,1,0,"2",0,1,1,1,0,0,"3","0",9,"2","0","1",2,1,1,1,1,1,1,56,1,"AT","deu",0.87,0.95
"58","Old 5",1,1,0,"5.2.1",0,"2",2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,23,23,0,41,1.78260869565217,5,5,1,0,"2",0,1,1,1,0,0,"3","0",9,"2","0","1",2,1,1,1,1,1,1,56,1,"AT","deu",0.87,0.95
"59","Old 5",1,1,0,"5.3.1",0,"73",2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,18,18,0,33,1.83333333333333,4,4,1,0,"2",0,1,1,1,0,0,"3","0",9,"2","0","1",2,1,1,1,1,1,1,58,1,"AT","deu",0.82,1
"60","Old 5",1,1,0,"5.4.1",0,"62",2,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,18,18,0,33,1.83333333333333,4,4,1,0,"2",0,1,1,1,0,0,"3","0",9,"2","0","1",2,1,1,1,1,1,1,58,1,"AT","deu",0.82,1
"61","Old 5",3,1,0,"5.1.3",1,"73",2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,27,0,48,1.77777777777778,5,5,1,0,"2",0,0,0,0,0,0,"3","0",5,"3","0","1",3,0,1,3,0,1,1,174,0,"AT","deu",0.86,0.98
"62","Old 5",3,1,0,"5.2.3",1,"2",2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,31,31,1,62,2,2,2,1,0,"2",0,0,0,0,0,0,"3","0",5,"3","0","1",3,0,1,3,0,1,1,172,0,"AT","deu",0.88,0.98
"63","Old 5",3,1,0,"5.3.3",1,"73",2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,40,1.73913043478261,5,5,1,0,"2",0,0,0,0,0,0,"3","0",5,"3","0","1",3,0,1,3,0,1,1,173,0,"AT","deu",0.88,0.98
"64","Old 5",3,1,0,"5.4.3",1,"62",2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,23,23,1,43,1.8695652173913,4,4,1,0,"2",0,0,0,0,0,0,"3","0",5,"3","0","1",3,0,1,3,0,1,1,170,0,"AT","deu",0.92,0.99
"65","Old 6",3,1,0,"6.1.3",1,"73",6,0,0,0,0,0,1,1,0,1,1,1,1,0,0,15,15,3,3,1,14,14,0,26,1.85714285714286,1,1,1,0,"2",1,0,1,1,0,0,"3","4",175,"1",NA,"1",2,1,1,2,1,1,2,307,1,"AT","deu",0.87,0.94
"66","Old 6",3,1,0,"6.2.3",1,"73",11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,13,1.85714285714286,3,3,1,0,"2",1,0,1,1,0,0,"3","4",175,"1",NA,"1",2,1,1,2,1,1,2,309,1,"AT","deu",0.9,0.94
